,server,court,set,serve_num,serve_left,serve_right,point_left,point_right,perc_winLeft,perc_winRight,chisq_val,chisq_pval,fisher_pval
1,PS,D,1234,1,28,27,23,20,82.1,74.1,0.158,0.691,0.528
5,PS,D,1234,2,13,15,10,11,76.9,73.3,0,1,1
9,PS,D,1234,21,41,42,33,31,80.5,73.8,0.214,0.644,0.603
2,PS,A,1234,1,20,27,15,23,75,85.2,0.253,0.615,0.465
6,PS,A,1234,2,17,7,10,5,58.8,71.4,0.013,0.908,0.669
10,PS,A,1234,21,37,34,25,28,67.6,82.4,1.34,0.247,0.181
3,AA,D,1234,1,20,36,14,30,70,83.3,0.681,0.409,0.313
7,AA,D,1234,2,5,22,4,12,80,54.5,0.293,0.588,0.618
11,AA,D,1234,21,25,58,18,42,72,72.4,0,1,1
4,AA,A,1234,1,11,45,10,31,90.9,68.9,1.207,0.272,0.255
8,AA,A,1234,2,5,14,2,7,40,50,0,1,1
12,AA,A,1234,21,16,59,12,38,75,64.4,0.248,0.618,0.555
1,PS,D,1,1,11,7,9,5,81.8,71.4,0,1,1
5,PS,D,2,1,2,7,2,4,100,57.1,0.08,0.777,0.5
9,PS,D,3,1,9,8,8,7,88.9,87.5,0,1,1
13,PS,D,4,1,6,5,4,4,66.7,80,0,1,1
2,PS,A,1,1,5,6,4,5,80,83.3,0,1,1
6,PS,A,2,1,5,7,4,7,80,100,0.031,0.86,0.417
10,PS,A,3,1,4,8,2,5,50,62.5,0,1,1
14,PS,A,4,1,6,6,5,6,83.3,100,0,1,1
3,AA,D,1,1,3,12,1,10,33.3,83.3,1.044,0.307,0.154
7,AA,D,2,1,8,5,7,5,87.5,100,0,1,1
11,AA,D,3,1,3,12,3,9,100,75,0.026,0.872,1
15,AA,D,4,1,6,7,3,6,50,85.7,0.621,0.431,0.266
4,AA,A,1,1,4,13,4,8,100,61.5,0.721,0.396,0.261
8,AA,A,2,1,2,8,2,6,100,75,0,1,1
12,AA,A,3,1,4,9,3,6,75,66.7,0,1,1
16,AA,A,4,1,1,15,1,11,100,73.3,0,1,1
1,PS,D,1,21,13,9,11,6,84.6,66.7,0.221,0.638,0.609
5,PS,D,2,21,6,12,5,6,83.3,50,0.731,0.393,0.316
9,PS,D,3,21,12,12,11,11,91.7,91.7,0,1,1
13,PS,D,4,21,10,9,6,8,60,88.9,0.821,0.365,0.303
2,PS,A,1,21,11,8,7,6,63.6,75,0.001,0.979,1
6,PS,A,2,21,12,8,10,8,83.3,100,0.208,0.648,0.495
10,PS,A,3,21,5,10,2,6,40,60,0.033,0.855,0.608
14,PS,A,4,21,9,8,6,8,66.7,100,1.351,0.245,0.206
3,AA,D,1,21,4,21,2,15,50,71.4,0.066,0.797,0.57
7,AA,D,2,21,8,10,7,7,87.5,70,0.1,0.751,0.588
11,AA,D,3,21,6,14,5,10,83.3,71.4,0,1,1
15,AA,D,4,21,7,13,4,10,57.1,76.9,0.167,0.682,0.613
4,AA,A,1,21,5,18,5,10,100,55.6,1.73,0.188,0.122
8,AA,A,2,21,2,12,2,9,100,75,0,1,1
12,AA,A,3,21,7,10,3,7,42.9,70,0.382,0.536,0.35
16,AA,A,4,21,2,19,2,12,100,63.2,0.069,0.793,0.533
